Reference,Value,Datasheet,Footprint,Qty,DNP
"BOOT1,RESET1",PTS810SJK250SMTR LFS,https://eu.mouser.com/ProductDetail/CK/PTS810SJK250SMTR-LFS?qs=Imq1NPwxi77Ow0tzRIznfA%3D%3D,OverlordCommon:PTS810SJK250SMTRLFS,2,
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10",4.7u,https://eu.mouser.com/ProductDetail/Murata-Electronics/GRM32DL8EL475KE07K?qs=By6Nw2ByBD3eoGXPfofc5w%3D%3D&countryCode=SE&currencyCode=SEK,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,10,
"C11,C14",10uF,https://eu.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A106KQFNNNF?qs=sGAEpiMZZMvsSlwiRhF8qvCY8MbTG5UF4nG6SP2xVXs%3D,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,
C12,1nF,https://www.mouser.se/ProductDetail/Samsung-Electro-Mechanics/CL21B102KCANNND?qs=xZ%2FP%252Ba9zWqbUeWaXHzSCHQ%3D%3D,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,
"C13,C15,C18,C19,C20,C21,C22,C23,C24,C25",0.1uF,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/08053C104KAT4A?qs=sGAEpiMZZMvsSlwiRhF8qtBfdvAGmZnkw6WJoeO38Ao%3D,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10,
"C16,C17",1uF,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/KGM21AR71E105KL?qs=Jm2GQyTW%2FbgOspZKgNqh%2Fg%3D%3D,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D17",VISHAY S07J-GS08,https://si.farnell.com/vishay/s07j-gs08/diode-switching-do219/dp/1617736,Diode_SMD:D_SMF,12,
"D12,D14,D15,D16,D18,D19,D20,D21",1N4148,https://www.mouser.se/ProductDetail/Taiwan-Semiconductor/TS4148-RBG?qs=5aG0NVq1C4zjFQ%2F0tPTeiA%3D%3D,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8,
D13,Unknown,https://eu.mouser.com/ProductDetail/Taiwan-Semiconductor/BZY55B12-RBG?qs=mAH9sUMRCtuMqULUHENO7w%3D%3D,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,
D22,TPD2E001DZDR,https://eu.mouser.com/ProductDetail/Texas-Instruments/TPD2E001DZDR?qs=6kmNHVaEmPhk6KdNbOe6jw%3D%3D,OverlordCommon:TPD2E001DZDR,1,
DB9_IN1,5788792-2,https://eu.mouser.com/ProductDetail/TE-Connectivity/5788792-2?qs=3NVJH8%2FxV2%252Bs7E8tWduUkQ%3D%3D,OverlordCommon:5788792,1,
DB9_OUT1,5747844-4,https://eu.mouser.com/ProductDetail/TE-Connectivity/5747844-4?qs=x6EjVpvqMVOIOT3ErJFDOQ%3D%3D,OverlordCommon:57478444,1,
"Dbg1,Dbg2,Dbg3,Dbg3V3_1,Dbg4,Dbg5,Dbg6,Dbg7,Dbg8,Dbg9,Dbg10,DbgCRX1,DbgCTX1,DbgEdge1,DbgGND1,DbgURX1,DbgUTX1",Connector_Conn_01x01_Male,,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,17,
"J1,J2",1757310,http://www.phoenixcontact.com/de/produkte/1757310/pdf,OverlordCommon:1757310,2,
J3,Conn_01x12_Pin,https://www.mouser.se/ProductDetail/538-90325-0012,Connector_Molex:Molex_Picoflex_90325-0012_2x06_P1.27mm_Vertical,1,
J_CAN120R1,Conn_01x02_Male,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,
